,origin_city,origin_state,origin_lat,origin_lon,destination_city,destination_state,destination_lat,destination_lon,distance_mile,filter
2161,Salt Lake City,Utah,40.766999999999996,-111.8904,Boise,Idaho,43.6166,-116.2008,295.7419764015741,0
593,Boise,Idaho,43.6166,-116.2008,Salt Lake City,Utah,40.766999999999996,-111.8904,295.7419764015741,1
2062,Nashville,Tennessee,36.1622,-86.7744,Springfield,Illinios,39.7997,-89.6475,296.10460655433144,0
641,Springfield,Illinios,39.7997,-89.6475,Nashville,Tennessee,36.1622,-86.7744,296.10460655433144,1
1753,Oklahoma City,Oklahoma,35.473,-97.5171,Little Rock,Arkansas,34.7465,-92.2896,299.7575677095614,0
185,Little Rock,Arkansas,34.7465,-92.2896,Oklahoma City,Oklahoma,35.473,-97.5171,299.7575677095614,1
2229,Montpelier,Vermont,44.2604,-72.5757,Trenton,New Jersey,40.2171,-74.7429,300.6208407265965,0
1494,Trenton,New Jersey,40.2171,-74.7429,Montpelier,Vermont,44.2604,-72.5757,300.6208407265965,1
1997,Columbia,South Carolina,34.0007,-81.0343,Charleston,West Virginia,38.3506,-81.6333,302.49262754421795,0
2389,Charleston,West Virginia,38.3506,-81.6333,Columbia,South Carolina,34.0007,-81.0343,302.49262754421795,1
853,Baton Rouge,Louisiana,30.445999999999998,-91.1874,Little Rock,Arkansas,34.7465,-92.2896,304.0719588553244,0
167,Little Rock,Arkansas,34.7465,-92.2896,Baton Rouge,Louisiana,30.445999999999998,-91.1874,304.0719588553244,1
1937,Providence,Rhoda Island,41.8249,-71.4136,Harrisburg,Pennsylvania,40.2663,-76.8861,304.8490393325147,0
1888,Harrisburg,Pennsylvania,40.2663,-76.8861,Providence,Rhoda Island,41.8249,-71.4136,304.8490393325147,1
809,Frankfort,Kentucky,38.2009,-84.8733,Atlanta,Georgia,33.7491,-84.3902,308.8688175535365,0
466,Atlanta,Georgia,33.7491,-84.3902,Frankfort,Kentucky,38.2009,-84.8733,308.8688175535365,1
1340,Lincoln,Nebraska,40.8,-96.6678,Pierre,South Dakoda,44.3684,-100.354,309.78769072702215,0
2026,Pierre,South Dakoda,44.3684,-100.354,Lincoln,Nebraska,40.8,-96.6678,309.78769072702215,1
1958,Columbia,South Carolina,34.0007,-81.0343,Tallahassee,Florida,30.4381,-84.2809,310.8667932574833,0
439,Tallahassee,Florida,30.4381,-84.2809,Columbia,South Carolina,34.0007,-81.0343,310.8667932574833,1
821,Frankfort,Kentucky,38.2009,-84.8733,Lansing,Michigan,42.7338,-84.5554,313.73621727025585,0
1066,Lansing,Michigan,42.7338,-84.5554,Frankfort,Kentucky,38.2009,-84.8733,313.73621727025585,1
1995,Columbia,South Carolina,34.0007,-81.0343,Richmond,Virginia,37.5385,-77.4343,317.02668094932307,0
2289,Richmond,Virginia,37.5385,-77.4343,Columbia,South Carolina,34.0007,-81.0343,317.02668094932307,1
17,Montgomery,Alabama,32.367,-86.3006,Baton Rouge,Louisiana,30.445999999999998,-91.1874,317.32631446475614,0
850,Baton Rouge,Louisiana,30.445999999999998,-91.1874,Montgomery,Alabama,32.367,-86.3006,317.32631446475614,1
2049,Pierre,South Dakoda,44.3684,-100.354,Cheyenne,Wyoming,41.14,-104.82,317.95506533885504,0
2490,Cheyenne,Wyoming,41.14,-104.82,Pierre,South Dakoda,44.3684,-100.354,317.95506533885504,1
