origin_city,origin_state,origin_lat,origin_lon,destination_city,destination_state,destination_lat,destination_lon,distance_mile
Little Rock,Arkansas,34.7464809,-92.2895948,Des Monies,Iowa,41.587186,-93.621949,478.2877138
Lincoln,Nebraska,40.8,-96.667821,Little Rock,Arkansas,34.7464809,-92.2895948,481.7683176
Indianapolis,Indiana,39.7683331,-86.1583502,Little Rock,Arkansas,34.7464809,-92.2895948,483.7228349
Indianapolis,Indiana,39.7683331,-86.1583502,Columbia,South Carolina,34.0007493,-81.0343313,488.8142442
Columbia,South Carolina,34.0007493,-81.0343313,Harrisburg,Pennsylvania,40.2663107,-76.8861122,489.5112026
Charleston,West Virginia,38.3505995,-81.6332812,Montgomery,Alabama,32.3669656,-86.3006485,489.9718258
Lansing,Michigan,42.7337712,-84.5553805,Jefferson City,Missouri,38.577359,-92.1724265,491.6401889
Harrisburg,Pennsylvania,40.2663107,-76.8861122,Indianapolis,Indiana,39.7683331,-86.1583502,491.7748324
Tallahassee,Florida,30.4380832,-84.2809332,Raleigh,North Carolina,35.7803977,-78.6390989,492.761424
Indianapolis,Indiana,39.7683331,-86.1583502,Raleigh,North Carolina,35.7803977,-78.6390989,494.3971022
Annapolis,Maryland,38.9786401,-76.492786,Lansing,Michigan,42.7337712,-84.5553805,494.6395827
Richmond,Virginia,37.5385087,-77.43428,Indianapolis,Indiana,39.7683331,-86.1583502,495.2051143
Madison,Wisconsin,43.074761,-89.3837613,Nashville,Tennessee,36.1622296,-86.7743531,497.4748351
Montgomery,Alabama,32.3669656,-86.3006485,Raleigh,North Carolina,35.7803977,-78.6390989,497.8132518
Denver,Colorado,39.7392364,-104.9848623,Topeka,Kansas,39.049011,-95.677556,499.1767824
Concord,New Hampshire,43.207178,-71.537476,Richmond,Virginia,37.5385087,-77.43428,499.621898
Jefferson City,Missouri,38.577359,-92.1724265,Columbus,Ohio,39.9622601,-83.0007065,499.7571671
St. Paul,Minnesota,44.9504037,-93.1015026,Indianapolis,Indiana,39.7683331,-86.1583502,503.6335091
Oklahoma City,Oklahoma,35.4729886,-97.5170536,Denver,Colorado,39.7392364,-104.9848623,503.8223637
Topeka,Kansas,39.049011,-95.677556,Cheyenne,Wyoming,41.14,-104.82,504.2345885
Oklahoma City,Oklahoma,35.4729886,-97.5170536,Baton Rouge,Louisiana,30.4459596,-91.18738,505.1911325
Augusta,Maine,44.310583,-69.779663,Annapolis,Maryland,38.9786401,-76.492786,505.6354762
Bismarck,North Dakota,46.808327,-100.783739,Des Monies,Iowa,41.587186,-93.621949,505.7087436
Salt Lake City,Utah,40.7670126,-111.8904308,Phoenix,Arizona,33.4485866,-112.0773456,505.9174849
Jackson,Mississippi,32.2990384,-90.1847691,Frankfort,Kentucky,38.2009055,-84.8732836,506.0074933
Frankfort,Kentucky,38.2009055,-84.8732836,Dover,Delaware,39.158168,-75.5243682,508.505948
Springfield,Illinios,39.799749,-89.647463,Atlanta,Georgia,33.7490987,-84.3901849,509.2743898
Charleston,West Virginia,38.3505995,-81.6332812,Albany,New York,42.6511674,-73.754968,509.3217379
Topeka,Kansas,39.049011,-95.677556,Indianapolis,Indiana,39.7683331,-86.1583502,510.5139815
Montgomery,Alabama,32.3669656,-86.3006485,Indianapolis,Indiana,39.7683331,-86.1583502,511.6070073
Olympia,Washington,47.0451022,-122.8950075,Helena,Montana,46.592712,-112.036109,514.1172058
Columbus,Ohio,39.9622601,-83.0007065,Albany,New York,42.6511674,-73.754968,514.3941861
Indianapolis,Indiana,39.7683331,-86.1583502,Annapolis,Maryland,38.9786401,-76.492786,519.0280831
Frankfort,Kentucky,38.2009055,-84.8732836,Des Monies,Iowa,41.587186,-93.621949,519.2582673
Jackson,Mississippi,32.2990384,-90.1847691,Springfield,Illinios,39.799749,-89.647463,519.2770843
Richmond,Virginia,37.5385087,-77.43428,Lansing,Michigan,42.7337712,-84.5553805,519.7448269
Cheyenne,Wyoming,41.14,-104.82,Helena,Montana,46.592712,-112.036109,520.4497958
Charleston,West Virginia,38.3505995,-81.6332812,Madison,Wisconsin,43.074761,-89.3837613,520.6400462
Raleigh,North Carolina,35.7803977,-78.6390989,Hartford,Connecticut,41.764582,-72.6908547,522.9575217
