origin,destination
"Sacramento,California,38.5815719,-121.49439960000001","Lincoln,Nebraska,40.8,-96.66782099999999"
"Sacramento,California,38.5815719,-121.49439960000001","Carson City,Neveda,39.169461,-119.766035"
"Sacramento,California,38.5815719,-121.49439960000001","Concord,New Hampshire,43.207178000000006,-71.537476"
"Sacramento,California,38.5815719,-121.49439960000001","Trenton,New Jersey,40.2170575,-74.7429463"
"Sacramento,California,38.5815719,-121.49439960000001","Santa Fe,New Mexico,35.68699960000001,-105.9377997"
"Sacramento,California,38.5815719,-121.49439960000001","Albany,New York,42.6511674,-73.754968"
"Sacramento,California,38.5815719,-121.49439960000001","Raleigh,North Carolina,35.7803977,-78.63909890000001"
"Sacramento,California,38.5815719,-121.49439960000001","Bismarck,North Dakota,46.808327,-100.783739"
"Sacramento,California,38.5815719,-121.49439960000001","Columbus,Ohio,39.9622601,-83.00070649999999"
"Sacramento,California,38.5815719,-121.49439960000001","Oklahoma City,Oklahoma,35.4729886,-97.5170536"
"Sacramento,California,38.5815719,-121.49439960000001","Salem,Oregon,44.9391565,-123.033121"
"Sacramento,California,38.5815719,-121.49439960000001","Harrisburg,Pennsylvania,40.266310700000005,-76.8861122"
"Sacramento,California,38.5815719,-121.49439960000001","Providence,Rhoda Island,41.824877,-71.413618"
"Sacramento,California,38.5815719,-121.49439960000001","Columbia,South Carolina,34.000749299999995,-81.03433129999999"
"Sacramento,California,38.5815719,-121.49439960000001","Pierre,South Dakoda,44.368431,-100.354013"
"Sacramento,California,38.5815719,-121.49439960000001","Nashville,Tennessee,36.1622296,-86.7743531"
"Sacramento,California,38.5815719,-121.49439960000001","Austin,Texas,30.2711286,-97.7436995"
"Sacramento,California,38.5815719,-121.49439960000001","Salt Lake City,Utah,40.7670126,-111.89043079999999"
"Sacramento,California,38.5815719,-121.49439960000001","Montpelier,Vermont,44.260445000000004,-72.575684"
"Sacramento,California,38.5815719,-121.49439960000001","Richmond,Virginia,37.53850870000001,-77.43428"
"Sacramento,California,38.5815719,-121.49439960000001","Olympia,Washington,47.0451022,-122.89500749999999"
"Sacramento,California,38.5815719,-121.49439960000001","Charleston,West Virginia,38.3505995,-81.6332812"
"Sacramento,California,38.5815719,-121.49439960000001","Madison,Wisconsin,43.074760999999995,-89.3837613"
"Sacramento,California,38.5815719,-121.49439960000001","Cheyenne,Wyoming,41.14,-104.82"
"Denver,Colorado,39.7392364,-104.98486229999999","Montgomery,Alabama,32.3669656,-86.3006485"
"Denver,Colorado,39.7392364,-104.98486229999999","Juneau,Alaska,58.30194960000001,-134.419734"
"Denver,Colorado,39.7392364,-104.98486229999999","Phoenix,Arizona,33.448586600000006,-112.0773456"
"Denver,Colorado,39.7392364,-104.98486229999999","Little Rock,Arkansas,34.7464809,-92.2895948"
"Denver,Colorado,39.7392364,-104.98486229999999","Sacramento,California,38.5815719,-121.49439960000001"
"Denver,Colorado,39.7392364,-104.98486229999999","Denver,Colorado,39.7392364,-104.98486229999999"
"Denver,Colorado,39.7392364,-104.98486229999999","Hartford,Connecticut,41.764582,-72.6908547"
"Denver,Colorado,39.7392364,-104.98486229999999","Dover,Delaware,39.158167999999996,-75.5243682"
"Denver,Colorado,39.7392364,-104.98486229999999","Tallahassee,Florida,30.4380832,-84.2809332"
